machineName:sensorName,operationalHigh,operationalLow
DCS:AFT PWR CNVRSN RM FIRE,1.0,0.0
DCS:AFT PWR CNVRSN RM FIRE (DUPSIG_01),1.0,0.0
DCS:AFT PWR CNVRSN RM FLOODG,1.0,0.0
DCS:AFT PWR CNVRSN RM FLOODG (DUPSIG_01),1.0,0.0
DCS:AFT SVC INTRFACE RM INTRUSION,1.0,0.0
DCS:AFT SVC INTRFACE RM INTRUSION (DUPSIG_01),1.0,0.0
DCS:ALM ACK FLAG,1.0E10,-1.0E10
DCS:AMMO STRKDWN TRUNK FLOODG,1.0,0.0
DCS:AMMO STRKDWN TRUNK FLOODG (DUPSIG_01),1.0,0.0
DCS:AMR 1 - 2ND PLAT - FIRE,1.0,0.0
DCS:AMR 1 - 2ND PLAT - FIRE (DUPSIG_01),1.0,0.0
DCS:AMR 1 - 2ND PLAT - FIRE (DUPSIG_02),1.0,0.0
DCS:AMR 1 - 2ND PLAT - FIRE (DUPSIG_03),1.0,0.0
DCS:AMR 1 - 2ND PLAT - FIRE (DUPSIG_04),1.0,0.0
DCS:AMR 1 - 2ND PLAT - FIRE (DUPSIG_05),1.0,0.0
DCS:AMR 1 - 2ND PLAT - FIRE (DUPSIG_06),1.0,0.0
DCS:AMR 1 - 2ND PLAT - FIRE (DUPSIG_07),1.0,0.0
DCS:AMR 1 - 2ND PLAT - FIRE (DUPSIG_08),1.0,0.0
DCS:AMR 1 - 2ND PLAT - FIRE (DUPSIG_09),1.0,0.0
DCS:AMR 1 - HLD - FIRE,1.0,0.0
